keys,en,description,
title.navbar.continue,Continue,continues the last savegame
upgrades.condenserdoublestorage.title,Double Storage,
upgrades.condenserdoublestorage.desc,"The condenser will produce and store two water, before it stops working.",
upgrades.condenserautoovercharge.title,Auto Overcharge,
upgrades.condenserautoovercharge.desc,"Keeps your primary gadget permanently overcharged, without using up water. Condenser water production will be delayed after overcharging.",
,,
upgrades.shield.title,Shield,
upgrades.shield.desc,Install a shield that will absorb some damage. Recharges automatically.,
upgrades.shieldstrength1.title,Strength 1,
upgrades.shieldstrength1.desc,Increases how much damage the dome shield can absorb.,
upgrades.shieldstrength2.title,Strength 2,
upgrades.shieldstrength2.desc,Further increases how much damage the shield can absorb.,
upgrades.shieldstrength3.title,Strength 3,
upgrades.shieldstrength3.desc,Further increases how much damage the shield can absorb.,
upgrades.shieldovercharge.title,Overcharge Shield,
upgrades.shieldovercharge.desc,Use water to manually overcharge your shield so it absorbs more damage in the next wave.,
upgrades.shieldoverchargeduration1.title,Overcharge Battle Ability Duration 1,
upgrades.shieldoverchargeduration1.desc,Overcharging your shield will also prolong any shield battle ability you use in the next wave.,
upgrades.shieldoverchargeduration2.title,Overcharge Battle Ability Duration 2,
upgrades.shieldoverchargeduration2.desc,Your shield battle ability will be active even longer in the next wave after overcharging.,
upgrades.shieldoverchargestrength1.title,Overcharge Shield Strength 1,
upgrades.shieldoverchargestrength1.desc,Increases how much damage the overcharged shield absorbs.,
upgrades.shieldoverchargestrength2.title,Overcharge Shield Strength 2,
upgrades.shieldoverchargestrength2.desc,Further increases how much damage the overcharged shield absorbs.,
upgrades.shieldbattleelectroblast.title,Electro Blast,
upgrades.shieldbattleelectroblast.desc,Trigger an active combat ability that creates a deadly field effect around your dome for a short time.,
upgrades.shieldbattleinvulnerable.title,Invulnerability,
upgrades.shieldbattleinvulnerable.desc,Trigger an active combat ability that makes your dome invulnerable for a short time.,
upgrades.shieldbattlereflect.title,Reflection,
upgrades.shieldbattlereflect.desc,Trigger an active combat ability that reflects incoming projectiles for a short time.,
upgrades.shieldbattlereflectshortuses.title,Timed Reflection,
upgrades.shieldbattlereflectshortuses.desc,Reflect more often for a shorter amount of time.,
upgrades.shieldbattlereflectspeedup.title,Accelerated Reflection,
upgrades.shieldbattlereflectspeedup.desc,"Reflected projectiles fly back at a higher speed, increasing their chances of hitting the attacker.",
upgrades.shieldbattleactivateondepletion.title,Activate on Depletion,
upgrades.shieldbattleactivateondepletion.desc,Invulnerability automatically activates an additional time when the shield runs out.,
upgrades.shieldbattleblastdamage.title,Deadly Blast,
upgrades.shieldbattleblastdamage.desc,Increases the damage and stun effect of the electro blast.,
upgrades.shieldbattlelongerafterdepletion.title,Depletion Boost,
upgrades.shieldbattlelongerafterdepletion.desc,The blast will last longer if triggered after your shield runs out.,
upgrades.shieldbattledestructionprevention.title,Last Stand,
upgrades.shieldbattledestructionprevention.desc,"Gain a long period of invulnerability when your dome is about to be destroyed.
After that, your shield does not charge for the next battle. Last stand can only be triggered again after 2 completed waves.
",
,,
upgrades.prospectionmeter.title,Prospection Meter,
upgrades.prospectionmeter.desc,A meter showing the distance to the nearest resources. Can be upgraded to also show direction.,
upgrades.prospectionmeterwater1.title,Water Meter,
upgrades.prospectionmeterwater1.desc,Displays the distance to the nearest water deposits.,
upgrades.prospectionmetersand1.title,Cobalt Meter,
upgrades.prospectionmetersand1.desc,Displays the distance to the nearest cobalt deposits.,
upgrades.prospectionmeteriron2.title,Iron Compass,
upgrades.prospectionmeteriron2.desc,Displays the direction to the nearest iron deposits.,
upgrades.prospectionmeterwater2.title,Water Compass,
upgrades.prospectionmeterwater2.desc,Displays the direction to the nearest water deposits.,
upgrades.prospectionmetersand2.title,Cobalt Compass,
upgrades.prospectionmetersand2.desc,Displays the direction to the nearest cobalt deposits.,
upgrades.prospectionmeterrange1.title,Range 1,
upgrades.prospectionmeterrange1.desc,Increases the detection range of the prospection meter.,
upgrades.prospectionmeterrange2.title,Range 2,
upgrades.prospectionmeterrange2.desc,Further increases the detection range of the prospection meter.,
,,
upgrades.drillbot.title,Drillbert,
upgrades.drillbot.desc,Adopt a loveable creature that loves to dig. Carry it into the mine and drop off where you want it to work. Check back to wake it up when it goes to sleep on the job.,
upgrades.drillbotstrength1.title,Strength 1,
upgrades.drillbotstrength1.desc,Increases the dig strength of Drillbert.,
upgrades.drillbotstrength2.title,Strength 2,
upgrades.drillbotstrength2.desc,Increases the dig strength of Drillbert.,
upgrades.drillbotstrength3.title,Strength 3,
upgrades.drillbotstrength3.desc,Increases the dig strength of Drillbert.,
upgrades.drillbotstrength4.title,Strength 4,
upgrades.drillbotstrength4.desc,Increases the dig strength of Drillbert.,
upgrades.drillbotduplicate.title,Sibling,
upgrades.drillbotduplicate.desc,"Drillbert gets an identical twin, Drilliam.",
upgrades.drillbotbuff1.title,Treats,
upgrades.drillbotbuff1.desc,Treats grow at the nest under the dome. Take them to Drillbert who will happily gobble them up to get energized.,
upgrades.drillbotbuffstrength1.title,Nutritious Treats,
upgrades.drillbotbuffstrength1.desc,Treats energize Drillbert for longer.,
upgrades.drillbotbuffstrength2.title,Taurine Addition,
upgrades.drillbotbuffstrength2.desc,"After getting a treat, Drillbert will work far longer before getting sleepy.",
upgrades.drillbotsleepless.title,Basic Conditioning,
upgrades.drillbotsleepless.desc,Drillbert will work for much longer before getting sleepy.,
upgrades.drillbotturnaround.title,Advanced Conditioning,
upgrades.drillbotturnaround.desc,"When meeting an indestructible wall, Drillbert will turn around instead of taking a nap.",
,,
upgrades.converter.title,Resource Converter,
upgrades.converter.desc,"Can convert resources, helping you balance your resource inventory.",
upgrades.converterirontocobalt.title,Cobalt Conversion,
upgrades.converterirontocobalt.desc,Allows converting cobalt to iron and vice versa.,
upgrades.converterefficientwater.title,Efficient Water Conversion,
upgrades.converterefficientwater.desc,"Water conversion becomes more efficient, but takes a bit longer.",
upgrades.converterefficientcobalt.title,Efficient Cobalt Conversion,
upgrades.converterefficientcobalt.desc,"Cobalt conversion becomes very efficient, but takes a long time.",
upgrades.converterironduplication.title,Iron Duplication,
upgrades.converterironduplication.desc,Multiply iron.,
,,
upgrades.shredgadgettocobalt.title,Shred to Cobalt,
upgrades.shredgadgettocobalt.desc,Shred the gadget and gain {amount} cobalt.,
upgrades.shredgadgettoiron.title,Shred to Iron,
upgrades.shredgadgettoiron.desc,Shred the gadget and gain {amount} iron.,
,,
properties.prestige.baseperwave,{} Base Prestige per Wave,
properties.prestige.multiplier,{} Prestige Multiplier per Wave,
properties.prestige.score,{} Prestige,
properties.upgrade.gameover,End the Run,
properties.dome.maxhealth,Health {}hp,
properties.dome.meleedamagereduction,Melee Damage Reduction {.percent},
properties.dome.baserepair,Repair {}hp,fixed amount of health points this upgrade repairs
properties.dome.healthfractionrepair,Repair {.percent} of total hp,fraction of total health points this upgrade repairs
properties.dome.autohealdamagethreshold,Activate on getting more damage than {} hp,
properties.dome.autohealamount,Repair {} hp,
properties.keeper1.drillstrength,Drill Strength {},
properties.keeper1.maxspeed,Top Speed {},
properties.keeper1.speedlosspercarry,Carry Slowdown {},
properties.keeper2.maxspeed,Top Speed {},
properties.keeper2.totalspheres,Spheres {},
properties.keeper2.spherereload,Sphere Reload {}s,
properties.keeper2.directminingdamage,High Rotational Mining Damage,
properties.keeper2.spherebasedamage,Sphere Base Damage {},
properties.keeper2.spherefractiondamage,Sphere Damage transcending Rock Hardness {.percent},
properties.keeper2.spherebaselifetime,Sphere Lifetime {},
properties.keeper2.spherelifetimeperbounce,Additional Sphere Lifetime per Bounce {}s,
properties.keeper2.spheresplit,Split Incoming Spheres,
properties.keeper2.sphereadditionalfirsthitdamage,Additional First Hit Damage {.percent},
properties.keeper2.reflectsphere,Reflect Incoming Spheres,
properties.keeper2.reflectspeedup,Sphere Speedup on Reflection {.percent},
properties.keeper2.reflectlifetime,Additional Sphere Lifetime on Reflection {}s,
properties.keeper2.reflectnexthitdamage,Additional Sphere Damage on Reflection for Next Bounce {.percent},
properties.keeper2.bundleduration,Bundle Lifetime {.percent},
properties.keeper2.bundlespheres,Bundle Spheres,
properties.keeper2.bundlestopcenter,Center Column Gravity Field,
properties.keeper.domefuel,Add fuel {},
properties.laser.dps,Damage {},
properties.laser.dpsmod,Damage Modifier {.percent},
properties.laser.movespeed,Move Speed {},
properties.laser.movespeedmod,Move Speed Modifier {.percent},
properties.laser.stun,Stun Strength {},
properties.laser.movespeedwhilefiring,Speed while Firing {.percent},
properties.laser.aimline,Aim Line,
properties.laser.hitprojectiles,laser hits energy projectiles,
properties.laser.bend,laser auto aims {}°,
properties.sword.sliceacceleration,Sword Speed {},
properties.sword.brake,Sword Agility {},
properties.sword.stabcooldown,Extend Cooldown {}s ,
properties.sword.stabspeed,Stab Speed {.percent} ,
properties.sword.extendspeed,Extend Speed {} ,
properties.sword.stabrange,Range {} ,
properties.sword.stabdamage,Stab Damage {} ,
properties.sword.stabarrowhead,Increase Arrowhead Size,
properties.sword.stabexplosive,Tip Bomb Mounted,
properties.sword.stabexplosivedamage,Bomb Damage {},
properties.sword.retractspeed,Retract Speed {} ,
properties.sword.slicedamage,Slice Damage {} ,
properties.sword.slicebrake,Speed Loss on Slice {.percent},
properties.sword.reflection,Increase Shield Pad Size,
properties.sword.reflectionacceleration,Reflected Projectile Speed {.percent},
properties.sword.reflectprojectiles,Reflect Energy Projectiles,
properties.sword.reflectprojectilesexplosive,Reflected Energy Projectiles are explosive,
properties.sword.aimline,Aim Prediction,
properties.sword.electricdamage,Electrified Sword Damage {},
properties.sword.slicebounceback,Sword Bounce On Edge,
properties.orchard.speedbuff,Move Speed Buff {},
properties.orchard.drillbuff,Mining Strength Buff {},
properties.orchard.buffduration,Buff Duration {} cycles,
properties.orchard.growthtime,Growth time {} cycles,
properties.orchard.overchargeduration,Fruit growth speed doubles for {} cycles,
properties.orchard.overchargeadditionalbuffduration,{} cycles additional buff duration after overcharge,
properties.orchard.overchargeadditionalabilityuses,{} additional ability uses after overcharge,
properties.orchard.battleroots,Grow {} Roots on the ground,
properties.orchard.battlerootexplosion,Explosion damage {},
properties.orchard.battleshields,Shield Layers {},
properties.orchard.battleshieldhp,Strength {} hp,
properties.orchard.battleabilityuses,Uses per Battle {},
properties.orchard.battleabilityduration,Ability Duration {}s,
properties.stunlaser.speed,Speed {},
properties.stunlaser.damage,Damage {},
properties.stunlaser.firetime,Fire Time {}s,
properties.stunlaser.cooldown,Cooldown {}s,
properties.blastmining.radius,Explosion radius {} tiles,
properties.blastmining.bombs,Charges {},
properties.blastmining.growthtime,Production time {} cycles,
properties.blastmining.damage,Damage {},
properties.probe.range,{} tiles Range,
properties.probe.charges,Charges {},
properties.probe.impulsespeed,Impulse Speed {},
properties.probe.markerretention,Marker Retention {}s,
properties.probe.rechargetime,Complete Recharge Time {} cycles ,
properties.teleporter.teleportresources,Teleport Resources,
properties.teleporter.teleportduration,Teleport Duration {}s,
properties.teleporter.teleportresourcescooldown,Resource Teleport Duration {}s,
properties.teleporter.teleportresourcesarea,Teleport Range {} tiles,
properties.lift.orbs,{} Orbs,
properties.lift.keeperupwardsspeed,Keeper Lift Speed {},
properties.lift.speed,Orb Speed {},
properties.lift.capacity,Orbs carry {} resources,
properties.condenser.growthtime,Production Time {} cycles,
properties.condenser.autocollect,Automatic Collection,
properties.condenser.waterstorage,Stores {} water,
properties.condenser.autoovercharge,Automated Overcharge,
properties.condenser.overchargedelay,Production Delay {} cycles,
properties.shield.maxstrength,Strength {} hp,
properties.shield.overchargestrength,Overcharge Strength {}hp,The shield can be overcharged by using one water which grants it more hp for one wave
properties.shield.overchargebattleabilityduration,Additional Ability Duration {.percent},
properties.shield.battleabilityduration,Ability Duration {}s,
properties.shield.battleactivateondepletion,Activate ability on shield depletion,
properties.shield.battleblastdamage,{} Blast Damage per second,
properties.shield.battleblaststun,Blast Stun {},
properties.shield.battleuses,Uses per Battle {},
properties.shield.battleadditionalabilitydurationafterdepletion,Additional Ability Duration {}s,
properties.shield.battledestructionprevention,Additional Duration {}s,
properties.shield.battlereflectspeedup,Reflected Projectile Speed {.percent},
properties.repellent.wavedelay,Wave Delay {} cycles,
properties.repellent.growthtime,Production time {} cycles,
properties.repellent.overchargeduration,Increase Repellent production speed for {} cycles,
properties.repellent.overchargebattleabilityduration,Additional Ability Duration {.percent},
properties.repellent.overchargewavedelay,Additional Wave Delay {} cycles,
properties.repellent.battleabilityduration,Ability Duration {}s,
properties.repellent.battleuses,Uses per Battle {},
properties.repellent.battleslowdown,Monster Slowdown {.percent},
properties.repellent.battlehealthreduction,Monster Health Reduction {.percent},
properties.repellent.battledamageovertime,Monsters take {} damage per second,all monsters on the screen get this amount of damage per second
properties.prospectionmeter.range,Range {} tiles,
properties.drillbot.amount,Drilling {} hits,
properties.drillbot.buffextraamount,Additional Drilling {} hits,
properties.drillbot.drillstrength,Drill Strength {},
properties.drillbot.buffstrength,Energized Speedup {.percent},
properties.drillbot.buffamount,Energized Drillings {} hits,
properties.drillbot.plantgrowthtime,Treat Growth Time {} cycles,
properties.drillbot.turnaround,Turn around when hitting a hard wall,
properties.converter.watertoiron,{} water to one iron,
properties.converter.irontowater,{} iron to one water,
properties.converter.irontocobalt,{} iron to one cobalt,
properties.converter.cobalttoiron,{} cobalt to one iron,
properties.converter.irontoiron,{} iron to one iron,
properties.converter.ironwatertime,{} cycles Conversion Time,
properties.converter.ironcobalttime,{} cycles Conversion Time,
properties.converter.ironirontime,{} cycles Conversion Time,
,,
pause.title,PAUSE,
pause.resumegame,Resume Game,
pause.options,Options,
pause.quittotitlescreen,Quit to Title Screen,
pause.quitgame,Quit Game,
pause.gamepadcontrols.drop,Drop,
pause.gamepadcontrols.back,Back,
pause.gamepadcontrols.move,Move,
pause.gamepadcontrols.use,Use,
pause.gamepadcontrols.pickup,Pickup,
pause.quit.popup,"Are you sure you want to quit?
Press again to do so.
(your progress is saved)",
pause.godot,Made with Godot,
pause.discord,Join us on Discord,
,,
loadout.title,CHOOSE YOUR LOADOUT,
loadout.dome,DOME,
loadout.domeoptions.title,Choose your Dome!,
loadout.gadget,GADGET,
loadout.gadgetoptions.title,Choose your primary Gadget!,
loadout.keeper,KEEPER,
loadout.keeperoptions.title,Choose your Keeper!,
loadout.mode,MODE,
loadout.modeoptions.title,Choose your Game Mode!,
loadout.pet,Pet,
loadout.petoptions.title,Choose your Pet!,
loadout.skin,Skin,
loadout.skinoptions.title,Choose your Skin!,
loadout.abort,Abort,
loadout.proceed,Proceed,
loadout.difficulty.title,Difficulty,
loadout.difficulty.veryeasy,Normal,
loadout.difficulty.veryeasy.description,"Still not easy, but more relaxed than the other difficulties.",
loadout.difficulty.easy,Hard,
loadout.difficulty.easy.description,A bit more forgiving in many aspects.,
loadout.difficulty.medium,Brutal,
loadout.difficulty.medium.description,Dome‘s intended difficulty.,
loadout.difficulty.hard,You asked for it,
loadout.difficulty.hard.description,"Well, it's your Dome to lose.",
loadout.difficult.easier,easier,button label for changing the difficulty to an easier mode
loadout.difficult.harder,harder,button label for changing the difficulty to a harder mode
loadout.mapsize.title,Map Size,
loadout.mapsize.small,Small,
loadout.mapsize.medium,Medium,
loadout.mapsize.large,Large,
loadout.mapsize.huge,Huge,
loadout.mapsize.small.description,A small map for shorter sessions.,
loadout.mapsize.medium.description,An average sized map for a proper mining session.,
loadout.mapsize.large.description,A large map for sessions lasting more than an hour.,
loadout.mapsize.huge.description,"A huge map for the longest runs.",
loadout.mapsize.unlock.description,"Win a run with the previous map size, to unlock this map size.",A hint given on how to unlock this map size
loadout.secondstage.cancel,Cancel,
loadout.secondstage.start,Start Run,
loadout.choices.comingsoon,"Not yet available, but coming soon.",
loadout.choices.locked,Not yet unlocked.,a hint that says that this content is not yet unlocked
loadout.prestige.title,Choose a Mode Variation,
loadout.prestige.normal,Regular,
loadout.prestige.normal.description,Send resources offworld to gain prestige among the keepers.,
loadout.prestige.cobalt,Fixed Cobalt,
loadout.prestige.cobalt.description,"The map has no cobalt and you can't generate it, but you start with plenty of it.",
loadout.prestige.countdown,Countdown,
loadout.prestige.countdown.description,"The prestige multiplier starts high and decreases each cycle.",
loadout.prestige.miner,Miner,
loadout.prestige.miner.description,"Concentrate on the most efficient mining in a world without monsters. Lasts 20 cycles.",
loadout.relichunt.modifiers,Choose your Modifiers,
loadout.miner.title,Choose Your Run Options,
loadout.miner.scores.title,"Scores",
loadout.miner.scores,"Send resources off planet with a rocket, to reach a high score after 20 cycles. Same as prestige mode, but without monsters.",
loadout.miner.fuel.title,"Fuel",
loadout.miner.fuel,"Enable the need to refuel your keepers movement aggregate with water.",
loadout.mode.hyperactive,Quick & Feeble,
loadout.mode.hyperactive.desc,"Monsters move much faster, but have less health.",
loadout.mode.longtime,Long Cycles,
loadout.mode.longtime.desc,"You have twice as much time between waves, but the waves will be stronger.",
loadout.mode.maze,Maze,
loadout.mode.maze.desc,"The map is maze-like, with many arms, dead ends and twists.",
loadout.mode.doubleiron,Double Iron,
loadout.mode.doubleiron.desc,"Iron desposits are twice as rich, but upgrades cost twice the iron too.",
,,
level.paused,Paused,
level.station.navbar.battle,Battle,
level.station.navbar.upgrades,Upgrades,
level.station.navbar.exit,Exit,
level.station.battle.navbar.move,Move,
level.station.battle.navbar.shoot,Shoot,
level.station.battle.navbar.slice,Slice ,
level.station.battle.navbar.stab,Stab,
level.station.battle.navbar.exit,Exit,
level.station.upgrademenu.inventory,Inventory,
level.station.upgrademenu.cost,Cost,
level.station.upgrademenu.close,Close,
level.station.upgrademenu.buy,Buy,
level.tutorial.blastmining.popup_1,Take the Blast Charge and drop it where you want to clear rocks.,
level.tutorial.drop.popup_1,Carried resources slow you down.,
level.tutorial.drop.popup_2,"Hit | to drop one. Hold to drop many.",
level.tutorial.fruit.popup_1,Your orchard just grew its first fruit.,
level.tutorial.fruit.popup_2,"When next to it, hit | to consume it.",
level.tutorial.pickup.popup_1,"Hit | to pick up a resource.",
level.tutorial.pickup.popup_3,Hold to pick up many.,
level.tutorial.probe.popup_1,"Hit | to emit a probe impulse.",
level.tutorial.probe.popup_3,"It reveals some of the nearby resources.
Recharge back at the station.",
level.tutorial.repellent.popup_1,Your repellent is ready to delay the next wave.,
level.tutorial.repellent.popup_2,"When close to it, hit | to activate it.",
level.tutorial.station.popup_1,Your dome is under attack!,
level.tutorial.station.popup_2,"Move to the station and hit | to enter it.",
level.tutorial.station.popup_4,"Then hit | to enter battle mode and defend.",
level.tutorial.teleporter.take1,Your teleporter has a station and a portal. You can teleport between them.,
level.tutorial.teleporter.take2,Grab the Portal and place it where you like.,
level.tutorial.teleporter_2,"Use the Teleporter Station to teleport to the Portal, and vice versa.",
level.tutorial.teleporter.carry1,"You can move the portal anywhere you want.",
level.tutorial.teleporter.carry2,"Hold | to pick up the portal again, when close to it.",
level.tutorial.teleporter.carry3,"If you hit |, you will teleport back.",
level.tutorial.teleporter.teleport1,"When close to the portal, hit | to teleport back.",
level.tutorial.teleporter.teleport2,"You can also teleport in the other direction.",
level.tutorial.sworddome.slicing,Slice,
level.tutorial.sworddome.slicing.desc,"The faster the sword swings, the higher the slice damage.",
level.tutorial.sworddome.stabbing,Stab,
level.tutorial.sworddome.stabbing.desc,Extend the sword and stab distant enemies.,
level.tutorial.sworddome.reflecting,Reflect,
level.tutorial.sworddome.reflecting.desc,"Use the sword's shield pad to stop projectiles, or even reflect them.",
level.tutorial.assessor.spheres,Kinetic Spheres,
level.tutorial.assessor.spheres.desc1,Hold|to charge a kinetic sphere.,
level.tutorial.assessor.spheres.desc2,Choose a direction and release to shoot the sphere.,
level.tutorial.assessor.spheres.desc3,It recharges its power with each bounce.,
level.tutorial.assessor.mining,Rotational Mining,
level.tutorial.assessor.mining.desc,"To remove a single rock, you can move the rotating kinetic sphere into it.",
level.tutorial.assessor.mining.desc2,"You can stop mining without shooting a sphere, by first releasing the directional keys.",
level.tutorial.assessor.carry,Gravity Collect,
level.tutorial.assessor.carry.desc1,"Hold|to pull in resources, until they are locked onto you.",
level.tutorial.assessor.carry.desc1_1,"Once locked onto you, they will follow you even if you release the collection key.",
level.tutorial.assessor.carry.desc2,"Hit|to drop a resource.",
level.tutorial.assessor.carry.desc3,"If you aim into a direction while dropping a resource, it will be accelerated heavily.",
level.tutorial.assessor.bundle.desc1,"Hold|while carrying resources, to charge a bundle.",
level.tutorial.assessor.bundle.desc2,"Aim and release to shoot it, the same way you fire a kinetic sphere.",
level.tutorial.assessor.reflect.desc,"Hit|to reflect incoming kinetic spheres for a very short time.",
level.tutorial.fullscreen.continue,continue,
level.tutorial.fullscreen.back,back,
level.tutorial.repair.findcobalt,"Try to find some cobalt. You can repair your dome with it.
It is rare and finite.",
level.tutorial.repair.usecobalt,You can use your cobalt to repair your dome. It's an upgrade in the dome tech tree.,
level.tutorial.onewayteleporter1,You just found a one way teleporter!,
level.tutorial.onewayteleporter2,"Press|to place the eye.",This text will be cut in half at the pipe symbol. The key that has to be pressed will be shown in between the cut parts. You can move the cut to where it fits best. The pipe has to stay even if there should be no cut.
level.tutorial.onewayteleporter3,"Press again to teleport back to it.",
level.tutorial.drillbot.carry,"Take Drillbert from its tank, and place it in the mine, where it should dig.",
level.tutorial.drillbot.handling1,"Hold | to pick up Drillbert again.",
level.tutorial.drillbot.handling2,"Hit | to make it change direction, if on ground.",
level.tutorial.drillbot.sleeping1,"Drillbert goes to sleep after a while, or when it meets a wall it can't dig.",
level.tutorial.drillbot.sleeping2,"When close to it, hit | to wake it.",
level.tutorial.drillbot.sleeping3,"You can make it turn around by hitting | when it's awake.",
level.tutorial.mineraltree1,"You just found a mineral tree seed. It can grow into a tree which roots into tiles. It will grow resources depending on the resources of the rooted tiles.
Drop it on a tile to plant the seed.",
level.gadgetchoice.title,PICK A GADGET!,
level.gameover.lose.title,THE DOME IS LOST,
level.gameover.win.title,YOUR DOME IS SAVED,
level.gameover.prestige.title,PRESTIGE RUN FINISHED,title for popup that run is finished
level.gameover.prestige.uploading.inprocess,uploading score ...,hint that the new score is being uploaded
level.gameover.prestige.uploading.failed,"uploading failed, trying again",
level.gameover.prestige.uploading.finalfailed,"uploading new score failed, sorry!",
level.gameover.prestige.score.personalbest,Your new personal best!,
level.gameover.prestige.score.rankunchanged,No change in rank.,
level.gameover.prestige.score.rankimproved,You improved your rank to {rank}.,Leave {rank} untranslated.
level.gameover.miner.title,MINER RUN FINISHED,title for popup that run is finished
level.gameover.stats.wavessurvived,Waves Survived,
level.gameover.stats.monsterskilled,Monsters Killed,
level.gameover.stats.timeplayed,Time Played,
level.gameover.stats.timeplayed.unit,m,how long the session was; in minutes 
level.gameover.stats.destroyedblocks,Destroyed Blocks,
level.gameover.stats.distancetravelled,Distance Travelled,
level.gameover.stats.resourcesmined,Resources Mined,
level.gameover.stats.difficulty,Difficulty,
level.gameover.stats.mapsize,Map Size,
level.gameover.stats.additionalgadget,Additional Gadget,
level.gameover.unlockpicker.title,PICK YOUR UNLOCK,
level.gameover.unlock.dome,New Dome,
level.gameover.unlock.keeper,New Keeper,
level.gameover.unlock.gadget,New Gadget,
level.gameover.unlock.gadgetability,New Gadget Battle Ability,
level.gameover.unlock.gamemode,New Game Mode,
level.gameover.unlock.gamemodevariant,New Game Mode Variant,
level.gameover.unlock.world,New world unlocked!,
level.gameover.unlock.difficulty,New difficulty unlocked!,
level.gameover.unlock.mapsize,New map size unlocked!,
level.gameover.unlock.modifiers,World modifiers unlocked!,
level.gameover.unlock.skin,New skin unlocked!,
level.gameover.unlock.pet,New pet unlocked!,
level.gameover.proceedtounlock,Unlock a new element,
level.gameover.back,Back,
level.gameover.continue,Continue,
level.gameover.backtomainmenu,Back to main menu,
level.gameover.retry,Start another run,
level.gameover.unlocknewelementbutton,Pick your unlock,shown on a button; opens a popup to choose one thing to unlock
level.gameover.keepgadget.title,Select a Gadget To Keep For Your Next Run,at the end of a lost run the player might keep one of their gadgets
level.gameover.keepgadget.keeping,Gadget to keep: {gadget},
level.gameover.keepgadget.none,none,means that no gadget is kept; follows after level.gameover.keepgadget.keeping
level.converter.popup.title,Convert Resources,
level.converter.popup.explanation,Pick a resource conversion to start!,
level.converter.popup.cancel,Cancel,
level.converter.popup.conversion.time,over {time} cycles,
level.converter.popup.conversion.to,to,
level.converter.popup.conversion.convert,convert,
,,
leaderboard.friends,Friends,button that shows scores of friends on a leaderboard
leaderboard.global,Global,button that shows global scores on a leaderboard
leaderboard.season,Season {season},
leaderboard.loading,loading...,
,,
ending.thankyoumessage,Thank you for playing!,
ending.appreciationmessage,"We hope you had a good time! We always appreciate your feedback, let us know what you think on Discord or the Steam Forums :)",
ending.teasemessage,Small tease of what's to come:,
ending.wishlistonsteam,Wishlist on Steam,
ending.feedbackondiscord,Feedback on Discord,
ending.backtomainmenu,Back to main menu,
,,
exhibition.title.press.anything,Press anything to play,Is shown when the trailer plays. Can be aborted by pressing anything
exhibition.level.heading,Are you still there?,
exhibition.level.instruction,Press anything to continue playing!,
exhibition.level.description,Going back to the main menu in ...,
,,
landing.proceed,Press anything to continue,Shown during the intro sequence after starting a run. Any button can be pressed to abort the intro and jump right into the game.
,,
worldmodifier.maparms.desc,The mine is more fractured.,
worldmodifier.mapmaze.desc,The mine is a maze.,
worldmodifier.maprugged.desc,The mine is rough and irregular.,
worldmodifier.mapdeep.desc,The mine is deeper and less wide.,
worldmodifier.mapwide.desc,The mine is wider and less deep.,
worldmodifier.mapwidebottom.desc,"The mine is thin at first, and gets very wide in the depths.",
worldmodifier.mapwildbiomes.desc,The biomes borders are very irregular.,
worldmodifier.hardnessmoderated.desc,There are very few extremely hard and soft rocks.,
worldmodifier.hardnessextremes.desc,There are much more extremely hard and soft rocks.,
worldmodifier.hardnessharder.desc,There are more harder rocks in the mine.,
worldmodifier.hardnesssofter.desc,There are more softer rocks in the mine.,
worldmodifier.resourceunpredicatableiron.desc,The iron clusters are more scattered and harder to predict.,
worldmodifier.resourceunpredicatablewater.desc,Water is more scattered and harder to predict.,
worldmodifier.resourceunpredicatablecobalt.desc,Cobalt is more scattered and harder to predict.,
worldmodifier.resourcescatterediron.desc,"There are more iron clusters around, but they are smaller.",
worldmodifier.resourcedesc,"There are only few iron clusters around, but they are very large.",
worldmodifier.resourcerichwater.desc,This world has a lot of water.,
worldmodifier.resourcerichcobalt.desc,This world has a lot of cobalt.,
worldmodifier.resourcerichiron.desc,This world has a lot of iron.,
worldmodifier.resourcepoorwater.desc,This world has little water.,
worldmodifier.resourcepoorcobalt.desc,This world has little cobalt.,
worldmodifier.resourcepooriron.desc,This world has little iron.,
worldmodifier.monsterfast.desc,The monsters are faster.,
worldmodifier.monsterslow.desc,The monsters are slower.,
worldmodifier.monsterhealthy.desc,The monsters have more health.,
worldmodifier.monsterfragile.desc,The monsters have less health.,
worldmodifier.monsterlethal.desc,"The monsters are more lethal, dealing more damage.",
worldmodifier.monsterfeeble.desc,"The monsters are more feeble, dealing less damage",
worldmodifier.monsterwavesspaced.desc,The monster waves are farther apart.,
