key,pt_BR
upgrades.teleporterteleportresourcesback.title,Teleporte de recursos
upgrades.dome1.title,Cúpula laser
upgrades.keeper2bundleinfinite.title,Conjunto duradouro
upgrades.repellentdelay1.title,Atraso 1
upgrades.miner.desc,"Em mundos sem monstros, você pode se concentrar na mineração do máximo de recursos que quiser sem distração."
upgrades.repellentbattlestrongerslowdown1.desc,A névoa desacelera mais os monstros e perdura por mais tempo.
upgrades.teleporterteleportresourcesarea.desc,O portal pode teleportar recursos em uma área maior.
upgrades.dome3.title,Cúpula de artilharia
upgrades.swordstabshoot.desc,"Ao invés de ser retraída com um cabo, a espada é carregada e disparada da cúpula como uma azagaia."
upgrades.repellentbattledamageovertime.desc,Todos os monstros sofrem um pouco de dano a cada segundo que os vapores tóxicos permanecerem.
upgrades.shieldbattleactivateondepletion.title,Ativação no esgotamento
upgrades.artillerymultishot2.desc,Lança várias granadas por disparo.
upgrades.dome1health2.title,Integridade 2
worldmodifier.monsterlethal.desc,"Os monstros são mais mortíferos, causam mais dano."
loadout.pet,Mascote
options.keybindings.action,Ação
upgrades.orcharddrill3.title,Reforço de mineração 3
options.translation.title,ESCOLHA SEU IDIOMA
upgrades.prospectionmeterrange1.title,Alcance 1
upgrades.dome2badrepair2.desc,Sua cúpula conserta mais dano se perder muita integridade durante uma batalha.
options.audio.volumes.ambiencevolume,Volume do ambiente
upgrades.prestigecobaltnocobalt.desc,"Enviar cobalto de volta, aumentando o multiplicador de pontos de prestígio recebido a cada onda."
worldmodifier.maparms.desc,A mina é mais fraturada.
loadout.prestige.countdown,Contagem Regressiva
upgrades.keeper2pinballdamage2.title,Dano de esfera cinética 2
upgrades.jetpackspeed1.title,Velocidade 1
upgrades.minerrefuel.title,Reabastecer
upgrades.teleporterteleportduration1.title,Duração do teleporte
properties.probe.charges,Cargas: {}
loadout.miner.fuel.title,Combustível
exhibition.title.press.anything,Aperte qualquer botão para jogar
loadout.mode,MODO
level.tutorial.sworddome.slicing,Cortar
properties.condenser.autoovercharge,Sobrecarga automática
upgrades.teleporterteleportduration1.desc,Teleportar-se demora menos tempo.
upgrades.minerwater.title,Enviar água
title.navbar.continue,Continuar
upgrades.orchardbattleshield.desc,Gera um escudo que protege a cúpula contra projéteis.
upgrades.liftcarrykeeper1.title,Elevador do Guardião 1
options.input.controls.keybindings,Definições de teclas
properties.keeper2.bundlespheres,Esferas em conjunto
upgrades.shieldovercharge.title,Sobrecarga do Escudo
properties.condenser.overchargedelay,Atraso da Produção: {} ciclos
upgrades.keeper2.title,Agrimensor
level.tutorial.assessor.mining,Mineração rotacional
upgrades.shieldoverchargeduration1.title,Duração da Sobrecarga da Habilidade de Batalha 1
upgrades.swordblade1.title,Melhoria do corte
properties.converter.irontoiron,{} de ferro para 1 de ferro
exhibition.level.description,Voltando ao menu principal em ...
level.tutorial.assessor.mining.desc2,Você pode interromper a mineração sem lançar uma esfera ao soltar primeiro as teclas direcionais.
worldmodifier.monsterslow.desc,Os monstros são mais lentos.
upgrades.orcharddrill2.desc,"Aumenta o reforço de mineração do fruto, permitindo que você minere ainda mais rápido."
loadout.difficulty.easy.description,Levemente mais misericordiosa em vários aspectos.
upgrades.swordstabexplode.title,Estocada-bomba
level.gameover.stats.additionalgadget,Acessório Adicional
upgrades.drillbotbuffstrength2.desc,"Depois de ganhar um petisco, Brocarlito trabalha muito mais tempo antes de ficar com sono."
upgrades.laserstrength3.desc,"Aumenta incrivelmente a força do laser, mas ele quase não se mexe enquanto dispara."
loadout.mapsize.medium,Médio
loadout.difficulty.hard,Você que pediu.
level.gameover.stats.wavessurvived,Ondas Sobrevividas
properties.stunlaser.damage,Dano: {}
options.keybindings.rebinding.cancel,Cancelar
level.tutorial.sworddome.stabbing.desc,Estende a espada e estoca inimigos distantes.
level.gameover.unlock.gamemodevariant,Nova variação de modo
upgrades.prestigefinishnocobalt.title,Deixar o planeta
properties.keeper2.bundleduration,Tempo de vida do conjunto {.percent}
upgrades.shieldstrength3.title,Força 3
options.audio.volumes.mastervolume,Volume master
upgrades.shieldbattlelongerafterdepletion.title,Reforço do esgotamento
options.keybindings.text,"Edite o mapeamento do controle como desejar.
Botões de seções diferentes normalmente podem ser os mesmos (por exemplo, usar os mesmos botões para mover seu guardião e a arma da cúpula)."
properties.shield.battleblastdamage,{} de dano de explosão por segundo
loadout.mapsize.large.description,Um mapa grande para sessões com duração superior a uma hora.
upgrades.drill4.desc,Fortalece a broca para escavar mais rápido.
upgrades.drillbotsleepless.desc,Brocarlito trabalhará muito mais tempo antes de ficar com sono.
upgrades.swordlargeblade2.title,Lâmina pesada 2
upgrades.swordlongblade2.desc,"Aumenta mais a velocidade da lâmina, fazendo-a quicar ao atingir o chão."
upgrades.prestigefinish.title,Deixar o Planeta
worldmodifier.hardnessmoderated.desc,Há algumas poucas rochas extremamente duras ou macias.
upgrades.converterironduplication.desc,Multiplica ferro.
upgrades.prestigefinish.desc,Deixar este planeta e voltar para casa.
upgrades.dome2health2.desc,Aumenta permanentemente a integridade estrutural da sua cúpula e a conserta.
upgrades.prestige.title,Prestígio
upgrades.liftcarrykeeper1.desc,O elevador aumenta sua velocidade quando você sobe dentro dele.
upgrades.repellentbattlehealthreduction.desc,"Enfraquece todos os monstros presentes, imediatamente reduzindo a vida restante deles."
upgrades.dome2.title,Cúpula de espada
worldmodifier.monsterfast.desc,Os monstros são mais rápidos.
upgrades.condenserautocollect.desc,"Automatiza a coleta de água, para que você não tenha que coletá-la manualmente."
upgrades.lift.title,Elevador
options.game.screenshake,Vibração da tela
options.keybindings.action.dome,Cúpula
upgrades.swordstabexplodedamage.desc,Aumenta o dano da bomba
level.gameover.stats.resourcesmined,Recursos minerados
worldmodifier.resourcepoorwater.desc,Este mundo tem pouca água.
upgrades.prospectionmeter.desc,Um medidor que mostra a distância até o recurso mais próximo. Pode ser melhorado para também mostrar a direção.
upgrades.shredgadgettocobalt.title,Transformar em Cobalto
upgrades.swordelectrified.desc,"A lâmina tem uma corrente elétrica, que causa dano ao toque."
upgrades.artilleryflakexplosionradius2.desc,Explosão de flak é maior.
upgrades.prospectionmeterwater1.title,Medidor de água
upgrades.minerwater.desc,Enviar água para fora do mundo aumenta seu prestígio.
options.video.graphicsmode,Formato da tela
upgrades.shieldbattlereflectspeedup.desc,"Projéteis refletidos voltam com uma velocidade maior, aumentando a chance de eles atingirem o agressor."
properties.shield.battleblaststun,Atordoamento da explosão: {}
loadout.mode.hyperactive.desc,"Monstros se movem muito mais rápido, mas têm menos vida."
upgrades.swordstabexplode.desc,"A espada entrega uma bomba, que explode no primeiro inimigo atingido pela estocada."
upgrades.swordstabfast2.title,Estocada rápida 2
upgrades.converterefficientwater.desc,"A conversão de água se torna mais eficiente, mas demora um pouco mais."
upgrades.orchardduration1.desc,Os efeitos do fruto duram mais.
loadout.difficulty.title,Dificuldade
exhibition.level.heading,Você ainda está aí?
level.gameover.unlock.gamemode,Novo modo de jogo
loadout.prestige.miner.description,Concentrate on the most efficient mining in a world without monsters. Lasts 20 cycles.
leaderboard.friends,Friends
upgrades.repellentbattlehealthreduction.title,Fraqueza
upgrades.teleporterteleportreactivate.title,Reativar teleporte pessoal
loadout.miner.scores,"Envia recursos para fora do planeta em um foguete, alcançando a pontuação máxima após 20 ciclos. O mesmo do modo prestígio, mas sem monstros."
options.audio,Áudio
upgrades.repellentovercharge.desc,Use água para sobrecarregar o tanque e produzir a próxima carga de repelente mais rápido.
upgrades.domewavemeter.title,Medidor de Presença Hostil
upgrades.prospectionmeterrange2.desc,Aumenta mais o alcance de detecção do medidor de prospecção.
upgrades.keeper2pinballreflectspeedup1.desc,"As esferas são energizadas quando refletidas, o que as acelera e permite que flutuem por mais tempo após a reflexão."
upgrades.shieldoverchargestrength1.desc,Aumenta o dano que o escudo sobrecarregado consegue absorver.
upgrades.repellentdelay1.desc,Aumenta o atraso da próxima onda de monstros.
upgrades.repellentbattlelongerhealthreduction.title,Degeneração
upgrades.swordtargetlock.desc,"Ao estocar, a espada trava automaticamente no primeiro monstro que ela mirar."
upgrades.orchardovercharge.desc,"Use água para sobrecarregar seu pomar, fazendo com que produza a fruta mais rápido."
upgrades.orchardbattlerootingmore.title,Raízes Fortes
upgrades.swordextendlong2.desc,Aumenta mais a força da estocada e a precisão do controle no ar.
upgrades.swordstabfast1.title,Estocada rápida 1
upgrades.probelong1.desc,"Aumenta o alcance do pulso da sonda, mas retira um espaço de carga."
upgrades.repellent.title,Repelente
worldmodifier.monsterwavesspaced.desc,O tempo entre cada onda de monstros é aumentado.
upgrades.artilleryflakexplosionradius2.title,Raio do flak 2
properties.drillbot.amount,Escavação: {} acertos
upgrades.repellentdelay3.title,Atraso 3
ending.appreciationmessage,"Esperamos que você tenha se divertido! Estamos sempre abertos a comentários, então nos diga o que achou no Discord ou nos fóruns Steam. :)"
properties.orchard.battlerootexplosion,Dano de explosão {}
upgrades.orchardduration3.desc,Duração máxima dos efeitos do fruto.
upgrades.dome1damagereduction2.desc,Reforça ainda mais a superfície da cúpula para sofrer menos danos de ataques corpo-a-corpo dos monstros. O dano de projéteis não é afetado.
properties.orchard.speedbuff,Poder de velocidade de movimento {}
upgrades.jetpackspeed2.desc,Melhora a mochila a jato para se mover mais rápido.
upgrades.jetpackspeed3.desc,Melhora a mochila a jato para se mover mais rápido.
options.accessibility.critters.explanation,"Remova insetos, minhocas e aracnídeos que aparecem na mina como efeito visual."
pause.options,Opções
properties.repellent.battledamageovertime,Dano por segundo aos monstros: {}
upgrades.repellentoverchargestrength1.title,Atraso de Horda da Sobrecarga 1
upgrades.repellentoverchargestrength1.desc,Sobrecarregar também aumenta o atraso até a onda seguinte.
upgrades.blastminingproductiontime1.desc,Reduz o tempo necessário para criar uma carga explosiva.
properties.teleporter.teleportresourcescooldown,Duração do teleporte de recursos: {}s
upgrades.artilleryflakmultishot1.desc,Dispara mais projéteis.
properties.converter.ironcobalttime,Tempo de conversão: {} ciclos
options.title,OPÇÕES
options.video.graphicsmode.window,Janela
properties.shield.battlereflectspeedup,Velocidade do projétil refletido: {.percent}
upgrades.swordaimline.title,Linha de mira
level.tutorial.drillbot.handling1,Segure | para pegar o Brocarlito de novo.
upgrades.probestage1.desc,Melhora a sonda em todos os aspectos.
level.tutorial.drillbot.handling2,"Aperte | para fazê-lo mudar de direção, se ele estiver no chão."
options.keybindings.rebinding.capture,Capturar
properties.probe.range,Alcance: {} espaços
properties.stunlaser.speed,Velocidade: {}
properties.probe.impulsespeed,Velocidade do impulso: {}
upgrades.domehealthmeter.title,Medidor de integridade
options.audio.music.frequency,Frequência (ciclos sem música)
options.audio.volumes.soundvolume,Volume do som
properties.sword.slicebounceback,Espada quica no chão
upgrades.jetpackspeed4.desc,Melhora a mochila a jato para se mover mais rápido.
worldmodifier.monsterfragile.desc,Os monstros têm menos vida.
level.gameover.prestige.score.personalbest,Seu novo recorde pessoal!
properties.prestige.baseperwave,Prestígio Base por Onda: {}
loadout.choices.comingsoon,"Ainda não está disponível, mas virá em breve."
upgrades.doublelaser.desc,"Instala uma segunda torreta laser, mas o poder de fogo é dividido entre as duas."
upgrades.jetpackstrength2.title,Capacidade de carga 2
upgrades.keeper2bundlestopcenter.title,Centro de gravidade
properties.keeper2.spherelifetimeperbounce,Tempo de vida adicional da esfera por impacto {} s
upgrades.converterefficientcobalt.desc,"A conversão de cobalto se torna muito eficiente, mas demora muito."
properties.orchard.buffduration,Duração do Bônus de {} ciclos
upgrades.domesandrepair.title,Reparo com cobalto
properties.keeper1.maxspeed,Velocidade máxima: {}
level.station.upgrademenu.cost,Custo
upgrades.lasermove1.title,Velocidade de movimento 1
level.tutorial.sworddome.reflecting,Refletir
loadout.petoptions.title,Escolha sua mascote!
level.station.upgrademenu.inventory,Inventário
level.gameover.unlockpicker.title,ESCOLHA O QUE DESBLOQUEAR
level.gameover.proceedtounlock,Desbloqueia um novo elemento
upgrades.artilleryshotcooldown2.desc,Dispara com mais frequência.
level.gameover.keepgadget.title,Escolha Um Dispositivo Para Levar na Próxima Expedição
level.station.battle.navbar.shoot,Disparar
upgrades.repellentbattlestrongerslowdown1.title,Estagnação
upgrades.dome2.desc,"Cúpula poderosa, com uma espada dinâmica que guardiões podem usar para dominar os agressores."
loadout.difficulty.easy,Difícil
upgrades.condenserautocollect.title,Coleta automática
upgrades.orchard.title,Pomar
upgrades.keeper2pinballreflectspeedup2.desc,As esferas são intensamente energizadas quando refletidas.
upgrades.laserstrength1.title,Energia 1
upgrades.lasermove2.title,Velocidade de movimento 2
upgrades.shieldbattlereflectshortuses.desc,Reflete mais projéteis durante um período mais curto.
options.keybindings.action.keeper.drop,Soltar
level.converter.popup.conversion.to,para
upgrades.repellent.desc,"Instala um tanque que produz um líquido que repele monstros. Ative-o para dispersar o líquido para fora da cúpula, atrasando a onda seguinte de agressores."
properties.repellent.battlehealthreduction,Redução de vida dos monstros: {.percent}
loadout.mode.hyperactive,"Rápidos, porém frágeis"
loadout.prestige.miner,Miner
upgrades.converter.title,Conversor de recursos
properties.condenser.waterstorage,Capacidade de água: {}
upgrades.jetpackstrength2.desc,Melhora a mochila a jato para carregar mais recursos.
level.station.navbar.exit,Sair
options.accessibility.photosensitivity.explanation,Reduz as luzes piscando.
properties.orchard.overchargeadditionalabilityuses,{} de usos adicionais de habilidade após a sobrecarga
worldmodifier.resourcepooriron.desc,Este mundo tem pouco ferro.
level.gameover.backtomainmenu,Voltar ao menu principal
upgrades.orchardbattlerooting.desc,Ative na batalha para gerar raízes fora da cúpula. Elas conseguem prender qualquer monstro médio que pisar nela.
upgrades.keeper2pinballreflect.desc,Reflete esferas com um pequeno campo de gravidade de alta potência ao seu redor.
upgrades.laser.title,Laser
options.game.tutorials.resettutorials,Reiniciar tutoriais
properties.converter.ironirontime,Tempo de conversão: {} ciclos
loadout.secondstage.start,Iniciar Expedição
upgrades.artilleryflakmultishot2.desc,Dispara mais projéteis.
upgrades.swordreflection2.desc,Aumenta mais a placa protetora.
upgrades.lasermove3.title,Velocidade de movimento 3
upgrades.lasermove1.desc,O laser se move mais rápido.
properties.lift.orbs,{} orbes
level.station.battle.navbar.move,Mover-se
upgrades.orchardjetpack2.title,Reforço da mochila a jato 2
options.audio.music,Música
worldmodifier.resourceunpredicatableiron.desc,Os veios de ferro são mais espalhados e difíceis de prever.
properties.shield.maxstrength,Integridade: {} PV
upgrades.condenserspeed1.title,Velocidade de produção 1
properties.repellent.battleuses,Usos por batalha: {}
upgrades.shieldstrength2.desc,Aumenta mais o dano que o escudo da cúpula consegue absorver.
upgrades.drillbotbuffstrength2.title,Adição de Taurina
upgrades.keeper2pinballreflectdamage2.desc,As esferas refletidas causam muito mais dano à pedra que atingir depois.
level.paused,Pausado
level.tutorial.sworddome.stabbing,Estocar
upgrades.stunlaserspeed1.title,Velocidade 1
upgrades.domehealthmeter.desc,Mostra a integridade estrutural da cúpula.
upgrades.swordlargeblade1.desc,"Aumenta a largura e o comprimento da espada, fazendo ela causar mais dano."
pause.quitgame,Sair do jogo
level.station.battle.navbar.slice,Cortar 
level.gameover.stats.timeplayed,Tempo de jogo
properties.teleporter.teleportresources,Teleporte de recursos
upgrades.drillbotstrength2.desc,Aumenta a força com que Brocarlito escava.
level.tutorial.drop.popup_2,Aperte | para soltar um. Segure para soltar vários.
level.gameover.keepgadget.keeping,Acessório para manter: {gadget}
level.tutorial.drop.popup_1,Carregar recursos reduz sua velocidade.
worldmodifier.maprugged.desc,A mina é irregular.
level.tutorial.onewayteleporter1,Você achou um teleporte de mão única!
properties.sword.aimline,Predição de mira
upgrades.keeper2bundle.desc,"Minerais anexados podem ser lançados em conjunto, da mesma forma que você dispara esferas cinéticas."
level.tutorial.onewayteleporter2,Aperte | para colocar o olho.
level.tutorial.onewayteleporter3,Aperte novamente para se teleportar de volta a ele.
properties.lift.capacity,Capacidade dos orbes: {}
properties.shield.battleabilityduration,Duração da habilidade: {}s
level.tutorial.teleporter.carry2,Segure | perto do portal para pegá-lo novamente.
level.tutorial.teleporter.carry3,"Se apertar |, você se teleportará de volta."
upgrades.minerrefuel.desc,"Transforma água em combustível, enchendo o armazenamento das suas cúpulas para que você possa reabastecer seu guardião."
level.tutorial.teleporter.carry1,Você pode mover o portal para onde quiser.
options.keybindings.cancel,Cancelar
level.tutorial.probe.popup_1,Aperte | para emitir um impulso de sonda.
upgrades.liftcarrykeeper2.desc,O elevador vai te acelerar ainda mais.
level.tutorial.probe.popup_3,"Revela alguns dos recursos próximos.
Recarrega na estação da cúpula."
worldmodifier.resourcerichcobalt.desc,Este mundo tem muito cobalto.
upgrades.keeper2pinballdamage4.desc,Melhora o dano causado pelas esferas cinéticas em pedras no impacto. Também melhora o dano de mineração rotacional.
properties.sword.stabexplosive,Ponta-bomba montada
properties.drillbot.turnaround,Vira ao atingir uma parede dura
upgrades.shieldstrength1.title,Força 1
properties.repellent.overchargewavedelay,Atraso Adicional da Onda: {} ciclos
upgrades.swordreflection3.title,Reflexão 3
upgrades.dome1.desc,"Cúpula de mineração padrão, equipada com um laser de precisão."
level.tutorial.drillbot.carry,Pegue o Brocarlito no tanque e coloque-o na mina. Ele começará a escavar a partir daí.
upgrades.lift.desc,Instala um elevador automático que traz recursos minerados à cúpula para serem processados.
upgrades.dome1health2.desc,Aumenta permanentemente a integridade estrutural da sua cúpula.
upgrades.converterefficientwater.title,Conversão eficiente de água
loadout.difficulty.hard.description,Só não venha me chorar as pitangas quando perder a cúpula.
upgrades.artillerymultishot2.title,Tiro sequencial 2
upgrades.swordelectrified.title,Lâmina eletrificada
upgrades.drillbotstrength3.desc,Aumenta a força com que Brocarlito escava.
upgrades.shieldbattleinvulnerable.title,Invulnerabilidade
upgrades.keeper2rotationalmining2.title,Mineração rotacional melhorada
upgrades.stunlaserautonomy1.title,Autonomia
level.tutorial.teleporter.teleport1,"Quando estiver perto do portal, aperte | para teleportar de volta."
level.tutorial.teleporter.teleport2,Você também pode teleportar no outro sentido.
level.gameover.prestige.uploading.failed,"falha ao enviar, tentando novamente"
upgrades.lasermove2.desc,O laser se move ainda mais rápido.
loadout.mapsize.title,Tamanho do mapa
level.gameover.miner.title,EXPEDIÇÃO DE MINERAÇÃO CONCLUÍDA
upgrades.blastminingblast1.title,Explosão 1
upgrades.drillbotturnaround.desc,"Ao topar com uma parede indestrutível, Brocarlito dá a volta, ao invés de tirar um cochilo."
properties.dome.baserepair,Conserto: {} PV
upgrades.condenserautoovercharge.desc,"Mantém seu acessório primário permanentemente turbinado, sem gastar água. A produção de água do condensador é atrasada após turbinar."
upgrades.teleporterteleportresourcesback.desc,"O portal agora teleporta recursos, mas não pode mais teleportar você. Você ainda pode se teleportar da cúpula para o portal."
ending.wishlistonsteam,Coloque na lista de desejos da Steam
properties.sword.reflection,Aumento do tamanho da placa protetora
upgrades.drillbotduplicate.desc,"Brocarlito ganha uma irmãzinha, Brocarina."
level.converter.popup.conversion.convert,converter
leaderboard.loading,loading...
properties.converter.watertoiron,{} de água para 1 de ferro
title.navbar.options,Opções
upgrades.swordexplosivereflection.desc,Projéteis refletidos explodem ao atingirem alguma coisa.
upgrades.shieldbattlereflectshortuses.title,Reflexo temporizado
level.gameover.unlock.skin,Nova habilidade desbloqueada!
level.gameover.stats.destroyedblocks,Blocos destruídos
options.keybindings.action.keeper.gravityball,Tiro de carga
upgrades.orchardjetpack1.title,Reforço da mochila a jato 1
upgrades.keeper1.desc,"Um profissional eficiente e habilidoso, excelente em mineração."
properties.laser.movespeedmod,Modificador de velocidade de movimento {.percent}
upgrades.laserstrength3.title,Energia 3
upgrades.orchardoverchargebuffduration.desc,Os efeitos do fruto duram mais tempo após a sobrecarga do pomar.
upgrades.stunlaserduration1.title,Resistência de disparo 1
loadout.mode.maze.desc,"O mapa parece um labirinto, com vários caminhos, voltas e becos sem saída."
properties.dome.healthfractionrepair,Conserto: {.percent} da integridade total
upgrades.jetpackstrength3.desc,Melhora a mochila a jato para carregar mais recursos.
options.input.gamepad.gamepadstickdeadzone.motiondetected,movimento detectado:
upgrades.prospectionmetersand1.title,Medidor de cobalto
upgrades.prospectionmeterwater1.desc,Mostra a distância até os depósitos de água mais próximos.
upgrades.blastminingstickycharge.desc,"As cargas grudam na primeira parede que encostam e abrem um túnel nela, ao invés de gerar uma explosão circular."
options.video,Vídeo
title.navbar.updates,Atualizações
loadout.skin,Visual
upgrades.shieldstrength2.title,Força 2
level.gameover.win.title,SUA CÚPULA ESTÁ SALVA
level.station.navbar.battle,Batalha
upgrades.converterirontocobalt.desc,Permite converter cobalto em ferro e vice-versa.
upgrades.keeper2rotationalmining2.desc,"Aumenta o dano causado pela mineração rotacional, transcendendo a dureza da pedra."
level.gameover.unlock.dome,Nova cúpula
pause.gamepadcontrols.pickup,Pegar
options.video.graphicsmode.photosensitive,Modo de Fotossensibilidade
upgrades.orchardduration2.desc,Os efeitos do fruto duram ainda mais.
properties.dome.meleedamagereduction,Redução de dano corpo-a-corpo {.percent}
upgrades.domesandrepair.desc,Use cobalto para reparar danos feitos à cúpula.
options.input,Entrada
properties.keeper2.spherereload,Recarga de esfera {} s
properties.blastmining.damage,Dano: {}
upgrades.laserbend.title,Cabeçote do laser
upgrades.swordlargeblade3.desc,"Uma lâmina monstruosa. Muito poderosa, mas bem lenta."
loadout.domeoptions.title,Escolha a sua cúpula!
upgrades.shieldoverchargeduration1.desc,Sobrecarregar seu escudo também prolonga qualquer habilidade de batalha do escudo que você usar na onda seguinte.
upgrades.probelong1.title,Longo alcance
options.keybindings.rebinding.inputprocessor,Aperte um novo botão para esta ação â€¦
properties.teleporter.teleportduration,Duração do teleporte: {}s
upgrades.dome2health2.title,Integridade 2
upgrades.drillbotduplicate.title,Irmão
pause.quit.popup,"Tem certeza de que quer sair?
Aperte novamente para confirmar.
(Seu progresso será salvo)"
upgrades.prospectionmetersand2.desc,Mostra a direção dos depósitos de cobalto mais próximos.
upgrades.probepersist1.desc,"Adiciona um módulo de memória à sonda, permitindo marcar a localização dos recursos por mais tempo."
upgrades.artilleryshotcooldown2.title,Reativação 2
properties.keeper2.sphereadditionalfirsthitdamage,Adicional de primeiro dano {.percent}
upgrades.shieldbattledestructionprevention.title,Última defesa
level.gameover.unlock.pet,Nova mascote desbloqueada!
upgrades.repellentbattlelongerhealthreduction.desc,Prolonga e fortalece a degeneração de todos os monstros presentes.
ending.feedbackondiscord,Comentar no Discord
properties.keeper2.reflectnexthitdamage,Dano adicional de esfera no reflexo no próximo impacto {.percent}
options.video.graphicsmode.borderlesswindow,Janela sem bordas
upgrades.keeper2pinballlifetime1.desc,"Estabiliza a esfera cinética, para que flutue por mais tempo."
level.gadgetchoice.title,ESCOLHA UM ACESSÓRIO!
upgrades.keeper2bundle.title,Tiro em conjunto
upgrades.relichunt.title,Caça à Relíquia
loadout.mode.doubleiron.desc,"Os depósitos de ferro são duas vezes mais ricos, mas as melhorias também custam o dobro do ferro."
level.tutorial.repair.findcobalt,"Tente encontrar cobalto. É possível consertar a cúpula com ele.
É um recurso raro e finito."
upgrades.keeper2pinballsplit.title,Dividir esferas
options.input.controls.text,É recomendável jogar com um controle.
landing.proceed,Aperte qualquer botão para continuar
upgrades.keeper2pinballmorespheres2.desc,"Adiciona um módulo suplementar ao gerador de gravidade, para que possa encurralar mais esferas cinéticas."
upgrades.jetpackstrength4.desc,Melhora a mochila a jato para carregar mais recursos.
upgrades.orchardbattleshieldsecondlayer.desc,Gera outra camada de escudo protetor contra projéteis.
level.converter.popup.conversion.time,mais de {time} ciclos
properties.keeper2.maxspeed,Velocidade máxima: {}
properties.laser.aimline,Linha de mira
upgrades.shieldstrength3.desc,Aumenta mais o dano que o escudo da cúpula consegue absorver.
upgrades.repellentovercharge.title,Sobrecarga do Repelente
properties.drillbot.buffstrength,Aceleração do Petisco: {.percent}
worldmodifier.hardnesssofter.desc,Há mais rochas macias na mina.
level.tutorial.pickup.popup_1,Aperte | para pegar um recurso.
level.tutorial.pickup.popup_3,Segure para pegar vários.
pause.gamepadcontrols.drop,Soltar
level.tutorial.fruit.popup_1,Seu primeiro fruto fortalecedor acaba de crescer.
level.tutorial.fruit.popup_2,Aperte | ao lado do fruto para comê-lo.
worldmodifier.mapwide.desc,A mina é mais ampla e menos profunda.
upgrades.prestigefinishnocobalt.desc,Deixar este planeta e voltar para casa.
upgrades.prospectionmeteriron2.title,Bússola de ferro
upgrades.keeper2movement2.title,Movimento gravitacional 2
options.keybindings.gamepad,Controle
ending.backtomainmenu,Voltar ao menu principal
level.tutorial.fullscreen.back,voltar
upgrades.shield.title,Escudo
upgrades.blastmining.title,Mineração explosiva
upgrades.converterirontocobalt.title,Conversão de cobalto
upgrades.swordstabfast1.desc,Acelera a estocada e aumenta a frequência dela.
level.gameover.prestige.score.rankunchanged,Sem mudança de classificação.
options.accessibility.critters,Desabilitar insetos
upgrades.teleporterteleportreactivate.desc,O portal recupera a habilidade de teleportar você.
upgrades.orchardjetpack3.title,Reforço da mochila a jato 3
level.gameover.unlock.mapsize,Novo tamanho de mapa desbloqueado!
upgrades.domeresourcecounters.title,Inventário
level.gameover.keepgadget.none,nenhum
upgrades.stunlaserdamage1.desc,Faz o laser atordoante causar um pouco de dano.
properties.repellent.battleabilityduration,Duração da habilidade: {}s
upgrades.prestigeiron.desc,"Enviar ferro de volta, adicionando 1 ao prestígio recebido a cada onda."
upgrades.teleporter.title,Teleporte
ending.teasemessage,Um gostinho do que está por vir:
loadout.relichunt.modifiers,Escolha seus modificadores
options.accessibility,Acessibilidade
loadout.mapsize.small.description,Um mapa pequeno para sessões mais curtas.
upgrades.shieldbattleblastdamage.desc,Aumenta o dano e o efeito atordoante da explosão elétrica.
options.translation.community.desc,Estes idiomas são traduzidos pela nossa adorável comunidade. Junte-se a eles se você quiser!
upgrades.prospectionmeterwater2.desc,Mostra a direção dos depósitos de água mais próximos.
upgrades.stunlaserdamage2.title,Dano 2
options.keybindings.action.keeper.gadget1,Acessório 1
options.keybindings.action.keeper.gadget2,Acessório 2
properties.repellent.wavedelay,Atraso da Onda: {} ciclos
options.ok,OK
upgrades.swordblade1.desc,Melhora a força e a velocidade do corte da sua espada.
upgrades.shieldoverchargeduration2.title,Duração da Sobrecarga da Habilidade de Batalha 1
properties.sword.slicedamage,Dano do corte: {} 
properties.condenser.autocollect,Coleta automática
properties.keeper2.directminingdamage,Dano de mineração de alta rotação
upgrades.keeper2bundlestopcenter.desc,Os tiros em conjunto ficarão logo abaixo da cúpula em vez de voar atrás do eixo central.
upgrades.orchardduration1.title,Duração 1
upgrades.drillbotbuffstrength1.title,Petiscos Nutritivos
upgrades.liftcarrykeeper2.title,Elevador do Guardião 2
upgrades.shieldoverchargestrength2.desc,Aumenta ainda mais a quantidade de dano que o escudo sobrecarregado absorve.
upgrades.repellentbattleslowdown.title,Debilitar
upgrades.artilleryshotprediction.title,Predição de disparo
upgrades.repellentdelay3.desc,Aumenta adicionalmente o atraso da onda seguinte de monstros.
upgrades.teleporter.desc,Um teleporte de ida e volta com uma estação sob a cúpula e um portal que pode ser posicionado e movido na mina.
level.gameover.stats.monsterskilled,Monstros eliminados
upgrades.keeper2pinballreflect.title,Reflexo de esfera
upgrades.drillbotstrength3.title,Força 3
upgrades.shieldbattlereflectspeedup.title,Reflexão acelerada
upgrades.probeswift1.title,Sonda rápida
options.game.events.enableseasonal,ativar conteúdo sazonal
upgrades.repellentbattledamageovertime.title,Vapores tóxicos
upgrades.dome3health2.title,Integridade 2
loadout.mapsize.huge,Enorme
properties.repellent.overchargebattleabilityduration,Duração Adicional da Habilidade: {.percent}
options.keybindings.action.keeper.gravitycollect,Coletar carga
loadout.miner.scores.title,Pontos
properties.lift.speed,Velocidade do orbe: {}
upgrades.drillbotstrength1.title,Força 1
